date,rating,deviation,n_faceoffs,wins,player_id,player_name
Starting,1500.0,240.0,0,0,8464977,Dainius Zubrus
2011-01,1555.3109112821694,56.12969933474195,64,38,8464977,Dainius Zubrus
2011-02,1575.4580321410099,36.586663040145105,144,88,8464977,Dainius Zubrus
2011-03,1552.356689314791,35.831366898121644,190,114,8464977,Dainius Zubrus
2011-04,1549.6521388993287,43.94822824437301,194,116,8464977,Dainius Zubrus
2011-10,1490.730221056544,37.986251858444994,246,142,8464977,Dainius Zubrus
2011-11,1513.0554035366217,29.408930882973873,352,196,8464977,Dainius Zubrus
2011-12,1528.5671249668687,28.332455302274997,444,251,8464977,Dainius Zubrus
2012-01,1400.798868329342,39.88406103706574,495,264,8464977,Dainius Zubrus
2012-02,1430.4234565411696,24.346190885191227,690,353,8464977,Dainius Zubrus
2012-03,1434.499047951319,33.13235597831124,716,364,8464977,Dainius Zubrus
2012-04,1441.323167215571,32.217273249186455,775,393,8464977,Dainius Zubrus
2012-10,1436.0687465289438,30.613831273280503,851,425,8464977,Dainius Zubrus
2012-11,1516.2472129065052,32.01500552487554,909,459,8464977,Dainius Zubrus
2012-12,1488.5335048708523,35.70163844524005,942,471,8464977,Dainius Zubrus
2013-01,1421.620788586342,56.26518897655416,951,473,8464977,Dainius Zubrus
2013-02,1420.701470925636,59.44564075268427,955,475,8464977,Dainius Zubrus
2013-04,1413.193520594814,57.91498514981321,970,482,8464977,Dainius Zubrus
2014-01,1449.6621547119978,36.549699590643726,1054,527,8464977,Dainius Zubrus
2014-02,1446.3198673116412,37.88005511330692,1083,541,8464977,Dainius Zubrus
2014-03,1470.7549410803108,33.03427386001009,1148,578,8464977,Dainius Zubrus
2014-04,1443.048301154968,30.938736861183532,1223,611,8464977,Dainius Zubrus
2014-10,1466.1216851423355,33.839344284924735,1263,633,8464977,Dainius Zubrus
2014-11,1459.69230041987,31.935277098969504,1327,666,8464977,Dainius Zubrus
2014-12,1427.6115986325945,30.850396474694104,1394,698,8464977,Dainius Zubrus
2015-01,1401.9399645293472,44.61400302677268,1430,712,8464977,Dainius Zubrus
2015-02,1418.856390229521,50.41547176042277,1435,715,8464977,Dainius Zubrus
2015-03,1408.5907415430438,50.60977519363095,1447,719,8464977,Dainius Zubrus
2015-04,1442.1219925798237,55.42345258347462,1451,722,8464977,Dainius Zubrus
2015-10,1452.211755130261,57.26362552978656,1458,725,8464977,Dainius Zubrus
2015-11,1473.3999569904418,54.73667233641268,1471,732,8464977,Dainius Zubrus
2015-12,1463.5720368183756,55.74325000957849,1480,735,8464977,Dainius Zubrus
2016-01,1479.3097356730123,71.27242195710411,1483,737,8464977,Dainius Zubrus
2016-02,1475.5505854265461,68.77999936981935,1489,740,8464977,Dainius Zubrus
2016-03,1535.7193694834298,70.98098092182131,1492,743,8464977,Dainius Zubrus
2016-04,1527.5873837543493,74.80576462228761,1493,743,8464977,Dainius Zubrus
2016-12,1470.15446757901,66.15387559516853,1508,750,8464977,Dainius Zubrus
Starting,1500.0,240.0,0,0,8471514,Rich Peverley
2011-01,1502.5811053473374,31.00224487353389,206,97,8471514,Rich Peverley
2011-02,1546.3734756381705,28.061090431053255,301,154,8471514,Rich Peverley
2011-03,1530.4236972601539,28.01332438317394,387,199,8471514,Rich Peverley
2011-04,1523.449267040315,21.58987867805577,593,316,8471514,Rich Peverley
2011-10,1547.9225736452256,23.37109381840178,731,397,8471514,Rich Peverley
2011-11,1592.7162302785084,19.755439440088836,967,535,8471514,Rich Peverley
2011-12,1568.8790949486183,17.41383391370184,1308,725,8471514,Rich Peverley
