date,rating,deviation,n_faceoffs,wins,player_name
Starting,1500.0,133.0,0,0,Hanna Beattie
2019-10,1532.6935610694932,52.605162601899856,45,24,Hanna Beattie
2019-12,1539.3526401995744,53.705577620241364,47,25,Hanna Beattie
2020-02,1538.6873342209963,53.22816896961736,51,27,Hanna Beattie
2020-03,1523.3493070853237,53.026632923155525,53,27,Hanna Beattie
2021-11,1524.0689792945723,56.18976856286566,55,28,Hanna Beattie
Starting,1500.0,133.0,0,0,Sara Bustad
2019-10,1351.755319596933,60.08574066403284,33,9,Sara Bustad
2020-02,1339.6486547054649,62.71472401999669,34,9,Sara Bustad
2021-01,1334.935956067497,63.97800285578852,35,9,Sara Bustad
Starting,1500.0,133.0,0,0,Becki Bowering
2019-10,1447.6455554571241,43.51761245225822,72,32,Becki Bowering
2019-11,1446.6771750938417,34.834444265690635,116,53,Becki Bowering
2019-12,1441.1159065249662,30.366905443528964,162,69,Becki Bowering
2020-01,1434.0205919731702,27.256821090511355,213,88,Becki Bowering
2020-02,1427.100240537985,25.50686780765481,262,107,Becki Bowering
2020-03,1442.1367299253673,25.65772540678571,289,123,Becki Bowering
Starting,1500.0,133.0,0,0,Sarah Schwenzfeier
2019-10,1434.2011288733152,47.43135557797516,58,23,Sarah Schwenzfeier
2019-11,1459.6452892394148,35.86849157168534,109,46,Sarah Schwenzfeier
2019-12,1481.073245553579,24.111276803910986,246,111,Sarah Schwenzfeier
2020-01,1475.6499402423592,19.732207225165045,396,176,Sarah Schwenzfeier
2020-02,1483.5977299403517,20.272803644404565,458,206,Sarah Schwenzfeier
2020-03,1491.8677490823138,20.312518452131425,528,241,Sarah Schwenzfeier
2021-01,1490.889534859622,21.79503605888923,568,259,Sarah Schwenzfeier
2021-03,1487.919584292386,25.574143985170448,581,265,Sarah Schwenzfeier
Starting,1500.0,133.0,0,0,Emma Vlasic
2019-10,1580.9289203684764,35.57224977610149,110,69,Emma Vlasic
2019-11,1570.3498722318304,29.449392774129958,169,102,Emma Vlasic
2019-12,1574.9809198546482,22.39088466549962,304,183,Emma Vlasic
2020-01,1554.4936504641285,20.177665346072718,417,241,Emma Vlasic
2020-02,1561.5077731233926,20.551217295928033,477,275,Emma Vlasic
2020-03,1547.3123971595342,21.320090309396633,522,295,Emma Vlasic
2021-01,1561.4095440036328,21.723617637935387,585,333,Emma Vlasic
2021-03,1549.4094369066895,25.131691206502868,605,342,Emma Vlasic
2021-11,1552.0907821756855,21.06042866499439,737,415,Emma Vlasic
2021-12,1557.324000503708,20.659075430753578,809,460,Emma Vlasic
2022-01,1559.9998580626343,22.082661679475557,835,475,Emma Vlasic
2022-02,1549.7399768133487,22.906430031990375,866,488,Emma Vlasic
2022-03,1535.1062180098518,20.225017082798715,981,547,Emma Vlasic
Starting,1500.0,133.0,0,0,Kim Brown
2019-10,1434.2122263660074,73.40705867952805,20,6,Kim Brown
2019-11,1523.436812194873,57.03339990440538,39,17,Kim Brown
2019-12,1544.5405763691067,46.19345872621866,63,28,Kim Brown
2020-01,1534.698106921149,44.51463298502723,71,31,Kim Brown
2020-02,1545.4523748679394,42.110984962363986,83,37,Kim Brown
2020-03,1562.1780918509448,42.28169197856708,87,41,Kim Brown
Starting,1500.0,133.0,0,0,Cassidy MacPherson
2019-10,1503.1658231657723,43.398708356547274,71,38,Cassidy MacPherson
2019-11,1499.8347502196389,30.44635910042302,150,80,Cassidy MacPherson
2019-12,1488.6360985727124,24.933671055063797,240,117,Cassidy MacPherson
2020-01,1505.922867186428,22.8560443860866,315,156,Cassidy MacPherson
2020-02,1507.7390982534162,21.86503606179205,384,192,Cassidy MacPherson
2020-03,1491.6610856177208,23.087103650431427,408,200,Cassidy MacPherson
2021-01,1518.3443464682218,23.054714561784095,464,234,Cassidy MacPherson
2021-02,1500.977811983182,24.450439237093345,480,236,Cassidy MacPherson
2021-11,1477.6076025327056,23.519452514296162,568,273,Cassidy MacPherson
2021-12,1496.0863371444725,23.897798334356303,602,292,Cassidy MacPherson
2022-01,1513.0972039885678,22.376977813720767,673,331,Cassidy MacPherson
2022-02,1533.6908099061689,19.547045015032495,803,410,Cassidy MacPherson
2022-03,1523.3636489815296,19.150821710849215,895,451,Cassidy MacPherson
Starting,1500.0,133.0,0,0,Corinne Buie
2019-10,1605.3541911666764,66.44217699329499,27,18,Corinne Buie
2019-11,1461.0092653239362,32.27483819854339,136,64,Corinne Buie
2019-12,1480.1535978835418,25.58448312158039,230,106,Corinne Buie
2020-01,1486.6463157226008,22.74540783419836,314,146,Corinne Buie
2020-02,1510.6415365895966,21.07862379587511,405,199,Corinne Buie
2020-03,1514.3297693871837,23.083119513621085,417,207,Corinne Buie
Starting,1500.0,133.0,0,0,Grace Klienbach
2019-10,1517.971000460986,114.72918014979592,3,2,Grace Klienbach
2019-11,1555.7974842149401,94.16298089445456,8,5,Grace Klienbach
2019-12,1457.7068628776176,71.1830159483686,20,9,Grace Klienbach
